Name	Appears in	Start Page	End Page	AFTFL Refs #	ARTFL linlk	Dates Appears in the Comedy
Cabirolle	Ursule Mirouet::					
Cabirolle, Agathe-Florentine	A Start in Life::Lost Illusions::A Distinguished Provincial at Paris::A Bachelor's Establishment::					
Cabirolle, Madame	A Start in Life::A Bachelor's Establishment::					
Cabirolle, Madame	Ursule Mirouet::					
Cabot, Armand-Hippolyte	The Unconscious Humorists::					
Cabot, Marie-Anne	The Seamy Side of History::					
Cachan	Lost Illusions::Scenes from a Courtesan's Life::					
Cadenet	The Middle Classes::					
Cadignan, Prince And Princesse De	See Maufrigneuse, Duc and Duchesse de::					
Cadignan, Prince De	Modeste Mignon::					
Cadine, Jenny	The Member for Arcis::					
Cadot, Mademoiselle	Jealousies of a Country Town::					
Calvi, Theodore	Scenes from a Courtesan's Life::					
Cambon	The Country Doctor::					
Cambremer, Jacques	A Seaside Tragedy::					
Cambremer, Joseph	A Seaside Tragedy::					
Cambremer, Madame	A Seaside Tragedy::					
Cambremer, Pierre	A Seaside Tragedy::Beatrix::					
Cambremer, Pierrette	A Seaside Tragedy::					
Cameristus	The Magic Skin::					
Camps, Madame Octave De	The Member for Arcis::					
Camps, Octave De	The Member for Arcis::					
Camuset						
Camusot	At the Sign of the Cat and Racket::					
Camusot, Charles	Cousin Pons::					
Camusot De Marville	Cousin Pons::					
Camusot De Marville, Cecile	See Popinot, Vicomtesse::					
Camusot De Marville, Madame	Jealousies of a Country Town::Scenes from a Courtesan's Life::Cousin Pons::					
Canalis, Baronne Melchior De	A Start In Life::					
Canalis, Constant-Cyr-Melchior, Baron De	The Member For Arcis::					
Cane, Marco-Facino	Facino Cane::Massimilla Doni::					
Cante-Croix, Marquis De	Lost Illusions::					
Cantinet	Cousin Pons::					
Cantinet	Cousin Pons::					
Cantinet, Madame	Cousin Pons::					
Capraja	Massimilla Doni::					
Carabine						
Carbonneau	The Lily Of The Valley::					
Carcado, Madame De	The Muse Of The Department::					
Cardanet, Madame De	Lost Illusions::					
Cardinal, Madame	The Middle Classes::					
Cardinal, Olympe	See Cerizet, Madame::					
Cardot	Cousin Pons::					
Cardot, Felicie Or Felicite	See Berthier, Madame::					
Cardot, Jean-Jerome-Severin	Cesar Birotteau::					
Cardot, Madame	The Muse Of The Department::					
Carigliano, Duchesse De	The Member For Arcis::					
Carigliano, Marechal, Duc De	Sarrasine::					
Carmagnola, Giambattista	Massimilla Doni::					
Carnot, Lazare-Nicolas-Marguerite	The Gondreville Mystery::					
Caroline	A Study Of Woman::					
Caroline	The Middle Classes::					
Caroline, Mademoiselle	The Lily Of The Valley::					
