Name	Appears in	Start Page	End Page	AFTFL Refs #	ARTFL linlk	Dates Appears in the Comedy
Serizy, Comtesse De	The Imaginary Mistress::					
Serizy, Vicomte De	The Imaginary Mistress::A Start In Life::					
Serizy, Or Serisy, Comte Hugret De	Scenes From A Courtesan's Life::					
Servais	Cousin Pons::					
Servien, Prudence	Scenes From A Courtesan's Life::					
Servin	The Vendetta::					
Servin, Madame	The Vendetta::					
Severac, De	Lost Illusions::					
Seyes, Emmanuel-Joseph	The Gondreville Mystery::					
Sibilet	The Peasantry::					
Sibilet	The Peasantry::					
Sibilet	The Peasantry::					
Sibilet	The Peasantry::					
Sibilet, Adolphe	The Peasantry::					
Sibilet, Madame Adolphe	The Peasantry::					
Sibilet, Mademoiselle	The Peasantry::					
Sibuelle	The Gondreville Mystery::					
Signol, Henriette	Lost Illusions::					
Simeuse, Admiral De	Beatrix::The Gondreville Mystery::Jealousies Of A Country Town::					
Simeuse, Marquis Jean De	The Gondreville Mystery::					
Simeuse, Marquise De	The Gondreville Mystery::					
Simeuse, Paul-Marie And Marie-Paul	The Gondreville Mystery::					
Simonin	The Middle Classes::					
Simonnin	Colonel Chabert::					
Sinard	Scenes From A Courtesan's Life::					
Sinet, Seraphine	The Unconscious Humorists::					
Sinot	The Member For Arcis::					
Socquard	The Peasantry::					
Socquard, Aglae	The Peasantry::					
Socquard, Madame Junie	The Peasantry::					
Soderini, Prince	Albert Savarus::					
Solis, Abbe De	The Quest Of The Absolute::					
Solis, Emmanuel	The Quest Of The Absolute::					
Solis, Madame Emmanuel De	The Quest Of The Absolute::					
Solonet	A Marriage Settlement::					
Solvet	A Second Home::					
Sommervieux, Madame Theodore De	At The Sign Of The Cat And Racket::Cesar Birotteau::					
Sommervieux, Theodore De	Modeste Mignon::					
Sonet	Cousin Pons::					
Sonet, Madame	Cousin Pons::					
Sophie	Cousin Pons::					
Sorbier	Jealousies Of A Country Town::					
Sorbier, Madame	Jealousies Of A Country Town::					
Soria, Don Ferdinand, Duc De	Letters Of Two Brides::					
Soria, Duchesse De	Letters Of Two Brides::					
Sormano	Albert Savarus::					
Souchet	Eugenie Grandet::					
Souchet, Francois	A Daughter Of Eve::					
Soudry	The Peasantry::					
Soudry	The Peasantry::					
Soudry, Madame	The Peasantry::					
Soudry, Madame	The Peasantry::					
Soulanges, Amelie De	A Bachelor's Establishment::					
Soulanges, Comte Leon De	The Peasantry::					
Soulanges, Comtesse Hortense De	The Peasantry::					
Soulanges, Vicomte De	Ursule Mirouet::					
Soulas, Amedee-Sylvain-Jacques De	Albert Savarus::					
Soulas, Madame Amedee De	Albert Savarus::					
Sparchmann	Colonel Chabert::					
Spencer, Lord	The Quest Of The Absolute::					
Spieghalter	The Magic Skin::					
Sponde, Abbe De	Jealousies Of A Country Town::					
Stael-Holstein, Anne-Louise-Germaine Necker, Baronne De	Letters Of Two Brides::					
Stanhope, Lady Esther	Lost Illusions::					
Staub	A Distinguished Provincial At Paris::					
Steibelt	Beatrix::					
Steinbock, Count Wenceslas	Cousin Betty::					
Steinbock, Countess Wenceslas	Cousin Betty::					
Steinbock, Wenceslas	Cousin Betty::					
Steingel	The Gondreville Mystery::The Peasantry::					
Stevens, Miss Dinah	A Marriage Settlement::Cousin Pons::					
Stidmann	The Unconscious Humorists::					
Stopfer, Monsieur And Madame	Albert Savarus::					
Sucy, Général Baron Philippe De	Farewell::					
Suzanne						
Suzannet	The Chouans::					
Suzette	The Thirteen::					
Suzon	A Man Of Business::The Member For Arcis::					
Sylvie	Father Goriot::					
Tabareau	Cousin Pons::					
Tabareau, Mademoiselle	Cousin Pons::					
Taboureau	The Country Doctor::					
Taillefer, Frederic-Michel	Father Goriot::					
Taillefer, Jean-Frederic	The Firm Of Nucingen::Father Goriot::The Magic Skin::The Red Inn::					
Taillefer, Madame	Father Goriot::					
Taillefer, Madame	The Red Inn::					
Taillefer, Victorine	Father Goriot::The Red Inn::					
Talleyrand-Perigord, Charles-Maurice De	Gaudissart Ii::					
Tarlowski	The Seamy Side Of History::					
Tascheron	The Country Parson::					
Tascheron, Denise	See Gerard, Madame Gregoire::					
Tascheron, Jean-Francois	The Country Parson::					
Tascheron, Louis-Marie	The Country Parson::					
Taupin	The Peasantry::					
Ternnick, De						
Terrasse And Duclos	A Start In Life::					
Thelusson	The Middle Classs::					
Therese	Father Goriot::A Daughter Of Eve::					
Therese	The Government Clerks::					
Therese	Beatrix::					
Therese, Sister	The Thirteen::					
Thibon, Baron	Cesar Birotteau::					
Thirion	Jealousies Of A Country Town::					
Thomas	The Chouans::					
Thomas, Madame	Scenes From A Courtesan's Life::					
Thomire	The Magic Skin::					
Thorec	Cousin Betty::					
Thorein	Cesar Birotteau::					
Thoul	Cousin Betty::					
Thouvenin	Cousin Pons::					
Thuillier	The Government Clerks::The Middle Classes::					
Thuillier, Louis-Jerome	The Government Clerks::The Middle Classes::					
Thuillier, Madame	The Middle Classes::					
Thuillier, Marie-Jeanne-Brigitte	The Government Clerks::The Middle Classes::					
Tiennette	Ursule Mirouet::					
Tillet, Ferdinand Du	The Unconscious Humorists::					
Tillet, Madame Ferdinand Du	A Daughter Of Eve::					
Tinteniac	The Seamy Side Of History::					
Tinti, Clarina	Albert Savarus::					
Tiphaine	Pierrette::					
Tiphaine, Madame	Pierrette::					
Tissot, Pierre-Francois	A Prince Of Bohemia::					
Tito	Albert Savarus::					
Toby	The Secrets Of A Princess::					
Tonnelet, Matire	The Country Doctor::					
Tonsard, Catherine	See Godain, Madame::					
Tonsard, Francois	The Peasantry::					
Tonsard, Jean-Louis	The Peasantry::					
Tonsard, Madame	The Peasantry::					
Tonsard, Marie	The Peasantry::					
Tonsard, Mere	The Peasantry::					
Tonsard, Nicolas	The Peasantry::					
Tonsard, Reine	Cousin Betty::					
Tony	The Member For Arcis::					
Topinard	Cousin Pons::					
Topinard	Cousin Pons::					
Topinard, Madame Rosalie	Cousin Pons::					
Topinard, Olga	Cousin Pons::					
Torlonia, Duc	Scenes From A Courtesan's Life::					
Torpille, La						
Touchard	A Start In Life::					
Touches, Mademoiselle Felicite Des	Beatrix::The Muse Of The Department::					
Toupillier	The Middle Classes::					
Toupinet	The Commission In Lunacy::					
Toupinet, Madame	The Commission In Lunacy::					
Tournan	The Government Clerks::					
Tours-Minieres, Baronne Bryond Des	The Seamy Side Of History::					
Tours-Minieres, Bernard-Polydor Bryond, Baron Des	Scenes From A Courtesan's Life::					
Trailles, Comte Maxime De	The Unconscious Humorists::					
Trans, Mademoiselle	A Marriage Settlement::					
Transon, Monsieur And Madame	The Government Clerks::					
Travot, Général	Beatrix::					
Trognon, Maitre	Cousin Pons::					
Troisville, Guibelin, Vicomte De	The Peasantry::					
Trompe-La-Mort						
Troubert, Abbe Hyacinthe	The Member For Arcis::					
Troussenard, Doctor	Modeste Mignon::					
Trudon	Cesar Birotteau::					
Tullia						
Tulloye	Lost Illusions::					
Turquet, Marguerite	Cousin Betty::					
Urbain	The Peasantry::					
Urraca	Letters Of Two Brides::					
Urraca Y Lora, Mademoiselle	The Unconscious Humorists::					
Ursule	The Village Parson::					
Ursule	Cesar Birotteau::					
Uxelles, Duchesse D'	The Secrets Of A Princess::					
Uxelles, Marquise D'	Cesar Birotteau::					
Vaillant, Madame	Cesar Birotteau::					
Val-Noble, Madame Du	See Gaillard, Madame Theodore::					
Valdes, Paquita	The Thirteen::					
Valdez	Letters Of Two Brides::					
Valentin, De	The Magic Skin::					
Valentin, Madame De	The Magic Skin::					
Valentin, Marquis Raphael De	The Magic Skin::					
Valentine	The Muse Of The Department::					
Vallat, Francois	The Peasantry::					
Vallet	The Peasantry::					
Valois, Chevalier De	The Chouans::Jealousies Of A Country Town::					
Vandenesse, Alfred De	A Woman Of Thirty::					
Vandenesse, Comte Felix De	The Secrets Of A Princess::Another Study Of Woman::The Gondreville Mystery::A Daughter Of Eve::					
Vandenesse, Comtesse Felix De	The Muse Of The Department::					
Vandenesse, Marquis Charles De	A Woman Of Thirty::A Start In Life::A Daughter Of Eve::					
Vandenesse, Marquis De	The Lily Of The Valley::					
Vandenesse, Marquise Charles De	A Daughter Of Eve::					
Vandenesse, Marquise De	The Lily Of The Valley::					
Vandieres, Comtesse Stephanie De	Farewell::					
Vandieres, Général, Comte De	Farewell::					
Vaniere	The Magic Skin::					
Vanneaulx, Monsieur And Madame Des	The Country Parson::					
Vanni, Elisa	The Vendetta::					
Vannier	The Chouans::					
Varese, Emilio Memmi, Prince Of	Massimilla Doni::Gambara::					
Varese, Princess Of	Massimilla Doni::Gambara::					
Varlet	The Gondreville Mystery::The Member For Arcis::					
Varlet	The Member For Arcis::					
Vassal	A Start In Life::					
Vatel	The Peasantry::					
Vatinelle, Madame	Cousin Pons::					
Vauchelles, De	Albert Savarus::					
Vaudoyer	The Peasantry::					
Vaudremont, Comtesse De	Domestic Peace::					
Vaumerland, Baronne De	Father Goriot::					
Vauquelin, Nicolas-Louis	Cesar Birotteau::					
Vauquer, Madame	Father Goriot::					
Vauremont, Princesse De	Letters Of Two Brides::					
Vauthier	The Seamy Side Of History::					
Vauthier, Madame	The Seamy Side Of History::					
Vautrin						
Vauvinet	The Unconscious Humorists::					
Vavasseur	The Government Clerks::					
Vedie, La	A Bachelor's Establishment::					
Vendramini, Marco	Facino Cane::Massimilla Doni::					
Vergniaud, Louis	Colonel Chabert::The Vendetta::					
Vermanton	Beatrix::					
Vermichel						
Vermut	The Peasantry::					
Vermut, Madame	The Peasantry::					
Vernal, Abbe	The Chouans::					
Vernet, Joseph	At The Sign Of The Cat And Racket::					
Verneuil, Duc De	The Chouans::Jealousies Of A Country Town::					
Verneuil, Duc De	Cousin Betty::					
Verneuil, Duc De	Modeste Mignon::					
Verneuil, Duchesse De	The Lily Of The Valley::					
Verneuil, Duchesse Hortense De	Modeste Mignon::					
Verneuil, Laure De	Modeste Mignon::					
Verneuil, Mademoiselle De	The Chouans::					
Verneuil, Marie-Nathalie De	See Montauran, Marquise Alphonse De::					
Verneuil, Marquis De	The Hated Son::					
Verneuil, Victor-Amedee, Duc De	The Chouans::					
Vernier	Gaudissart The Great::					
Vernier, Baron	Cousin Betty::					
Vernier, Madame	Gaudissart The Great::					
Vernisset, Victore De	The Seamy Side Of History::Beatrix::Cousin Betty::					
Vernon, Marechal	Beatrix::					
Vernou, Felicien	Cousin Betty::					
Vernou, Madame Felicien	A Distinguished Provincial At Paris::					
Vert, Madame Michel	The Peasantry::					
Vert, Michel-Jean-Jerome	The Peasantry::					
Vervelle, Antenor	Pierre Grassou::					
Vervelle, Madame Antenor	Pierre Grassou::					
Vervelle, Virginie	See Grassou, Madame Pierre::					
Veze, Abbe De	The Seamy Side Of History::					
Viallet	The Peasantry::					
Victoire	Cesar Birotteau::					
Victor	A Woman Of Thirty::					
Victorine	Gaudissart Ii::					
Vidal & Porchon	A Distinguished Provincial At Paris::					
Vien, Joseph-Marie	Sarrasine::The Member For Arcis::					
Vieux-Chapeau	The Chouans::					
Vigneau, Madame	The Country Doctor::					
Vignol 	See Bouffe::					
Vignon, Claude	Honorine::Again, In 1836, At Les Touches, Vignon, On The Point Of Giving Up Camille Maupin, Delivered To His Former Mistress A Veritable Dissertation, Of Surprising Insight, On The Subject Of The Heart, With Reference To Calyste Du Guenic, Gennaro Conti, And Beatrix De Rochefide::Such Intimate Knowledge Of The Human Heart Had Gradually Saddened And Wearied Him					
Vigor	The Peasantry::					
Vigor	The Peasantry::					
Villemot	Cousin Pons::					
Villenoix, Pauline Salomon De	The Vicar Of Tours::					
Villenoix, Salomon De	Louis Lambert::					
Vilquin	Modeste Mignon::					
Vilquin, Madame	Modeste Mignon::					
Vimeux	The Government Clerks::					
Vimeux, Adolphe	The Government Clerks::					
Vinet	Pierrette::The Member For Arcis::The Middle Classes::Cousin Pons::					
Vinet, Madame	Pierrette::					
Vinet, Olivier	The Middle Classes::					
Violette	The Gondreville Mystery::					
Violette, Jean	The Member For Arcis::					
Virginie	Cesar Birotteau::					
Virginie	A Daughter Of Eve::					
Virginie	A Passion In The Desert::					
Virginie	A Distinguished Provincial At Paris::					
Virlaz	Cousin Pons::					
Vissard, Charles-Amedee-Louis-Joseph Rifoel, Chevalier Du	The Seamy Side Of History::					
Vissard, Marquis Du	The Seamy Side Of History::					
Vissembourg, Duc De	Beatrix::					
Vitagliani	Sarrasine::					
Vital	The Unconscious Humorists::					
Vital, Madame	The Unconscious Humorists::					
Vitel	Cousin Pons::					
Vitelot	Cousin Pons::					
Vitelot, Madame	Cousin Pons::					
Vivet, Madeleine	Scenes From A Courtesan's Life::Cousin Pons::					
Volfgang	Scenes From A Courtesan's Life::					
Vordac, Marquise De	The Thirteen::					
Vulpato, La	Massimilla Doni::					Italian::Venetian
Vyder	Cousin Betty::					
Wadmann	Cousin Pons::					
Wahlenfer Or Walhenfer	The Red Inn::					
Wallenrod-Tustall-Bartenstild, Baron De	Modeste Mignon::					
Watschildine	Melmoth Reconciled::					
Wattebled	The Peasantry::					
Watteville, Baron De	Albert Savarus::					
Watteville, Baronne De	See Soulas, Madame A::De::					
Watteville, Rosalie De	Albert Savarus::					
Werbrust	Cesar Birotteau::The Firm Of Nucingen::					
Werchauffen, Baron De	See Schirmer::					
Wimphen, De	A Woman Of Thirty::					
Wimphen, Madame Louisa De	A Woman Of Thirty::					1814
Wirth	The Firm Of Nucingen::					
Ysembourg, Prince D'	The Unconscious Humorists::					
Zambinella	Sarrasine::The Member For Arcis::					
Zarnowicki, Roman[*]	The Seamy Side Of History::					
						
						
						
Places						
Ximeuse	The Gondreville Mystery::					
